Genre,Platform,median,min,max,q1,q3
Action,3DS,6.4,2.4,9.0,5.5,7.6
Action,DS,7.0,2.2,8.8,5.6,7.75
Action,GBA,7.6,2.4,9.3,6.85,8.649999999999999
Action,GC,8.0,3.1,9.4,7.1,8.5
Action,PC,7.4,2.5,9.1,6.2,7.975
Action,PS,8.0,1.2,9.4,6.85,8.850000000000001
Action,PS2,8.0,2.0,9.3,7.2,8.6
Action,PS3,7.2,1.7,9.1,6.4,7.8
Action,PS4,7.3,2.0,8.6,6.5,7.8
Action,PSP,7.4,4.1,8.9,6.8,7.9
Action,PSV,7.5,4.1,8.8,6.8,8.0
Action,Wii,7.05,1.7,9.0,6.025,8.0
Action,WiiU,7.4,3.5,8.5,6.5,7.85
Action,X360,7.2,2.9,9.0,6.2,7.9
Action,XB,7.7,1.5,9.3,6.6,8.5
Action,XOne,6.85,3.1,8.2,6.074999999999999,7.35
Adventure,3DS,7.4,3.6,9.0,6.1,8.5
Adventure,DC,9.4,9.4,9.4,9.4,9.4
Adventure,DS,7.5,1.7,9.2,6.35,8.149999999999999
Adventure,GBA,7.8,3.8,9.0,7.5,8.6
Adventure,GC,7.7,3.2,8.9,6.0,8.5
Adventure,PC,7.9,3.9,8.9,7.3,8.2
Adventure,PS,6.1,5.7,8.8,6.0,6.2
Adventure,PS2,7.7,2.0,9.0,6.6,8.2
Adventure,PS3,7.4,1.7,9.0,6.2,8.0
Adventure,PS4,8.1,6.2,8.6,7.1,8.325000000000001
Adventure,PSP,7.8,4.4,8.7,6.7,8.2
Adventure,PSV,7.6,5.7,9.3,7.325,8.75
Adventure,Wii,7.5,3.5,8.6,6.05,8.1
Adventure,WiiU,4.9,4.9,4.9,4.9,4.9
Adventure,X360,6.8,2.5,8.1,4.949999999999999,7.75
Adventure,XB,8.149999999999999,0.5,9.3,7.3,8.4
Adventure,XOne,8.35,7.2,8.9,7.8,8.75
Fighting,3DS,6.6,5.9,8.2,6.0,7.75
Fighting,DC,8.9,8.8,9.0,8.850000000000001,8.95
Fighting,DS,7.5,2.8,8.6,5.975,7.875
Fighting,GBA,7.8,3.7,9.1,7.0,8.2
Fighting,GC,8.1,2.8,9.1,6.5249999999999995,8.75
Fighting,PC,5.1,2.9,6.4,4.0,5.75
Fighting,PS,8.4,2.4,9.1,6.85,8.7
Fighting,PS2,8.3,4.4,9.2,7.7,8.6
Fighting,PS3,7.35,3.8,8.6,6.975,7.9
Fighting,PS4,7.7,3.4,8.7,7.15,7.8
Fighting,PSP,7.55,0.9,8.8,6.6,8.1
Fighting,PSV,7.7,3.8,8.5,7.5,7.8
Fighting,Wii,7.6,4.7,8.9,5.9750000000000005,8.4
Fighting,WiiU,7.9,5.8,8.0,6.85,7.95
Fighting,X360,7.25,2.1,8.8,6.3,7.725
Fighting,XB,7.3,2.4,9.0,6.45,8.649999999999999
Fighting,XOne,7.2,3.0,8.5,5.8,7.3
Misc,3DS,7.5,5.4,8.5,6.425,7.8
Misc,DS,7.0,1.9,9.0,5.9,7.9
Misc,GBA,7.35,4.9,8.3,6.475,8.0
Misc,GC,7.9,2.9,9.2,7.2,8.225
Misc,PC,7.2,6.6,7.6,6.9,7.4
Misc,PS,7.8,7.2,8.9,7.3500000000000005,8.375
Misc,PS2,7.7,2.6,9.1,6.325,8.4
Misc,PS3,7.1,0.5,8.7,5.7,7.9
Misc,PS4,6.3,5.5,7.4,6.0,6.949999999999999
Misc,PSP,7.2,2.8,8.7,6.4,7.8
Misc,PSV,8.05,5.8,8.7,7.95,8.45
Misc,Wii,7.0,1.0,8.9,5.75,7.8
Misc,WiiU,6.699999999999999,4.4,8.3,5.925,7.6499999999999995
Misc,X360,6.7,2.1,8.6,5.625,7.775
Misc,XB,7.8,2.7,9.0,6.15,8.1
Misc,XOne,7.0,5.1,8.3,6.3500000000000005,7.55
Platform,3DS,7.15,5.4,8.8,6.425000000000001,7.7
Platform,DC,8.6,8.6,8.6,8.6,8.6
Platform,DS,7.6,2.7,8.9,7.1,8.350000000000001
Platform,GBA,8.1,2.5,9.3,7.425,8.8
Platform,GC,7.65,3.0,9.3,7.2,8.3
Platform,PC,8.2,4.4,8.6,7.25,8.375
Platform,PS,8.65,5.3,9.4,7.15,8.9
Platform,PS2,8.0,3.5,9.1,6.775,8.6
Platform,PS3,7.05,3.1,8.8,5.475,8.275
Platform,PS4,6.1,2.9,8.5,4.95,7.35
Platform,PSP,7.45,5.9,8.7,6.85,7.8
Platform,PSV,8.3,5.5,8.6,7.825,8.4
Platform,Wii,7.55,1.4,9.1,6.225,8.5
Platform,WiiU,8.1,4.6,9.0,6.9,8.6
Platform,X360,7.0,4.4,8.3,5.7,7.6
Platform,XB,8.25,5.4,9.2,7.3,8.649999999999999
Platform,XOne,5.2,4.2,7.9,4.3500000000000005,6.475
Puzzle,3DS,7.15,4.8,8.5,5.975,7.9
Puzzle,DS,7.5,2.5,9.3,6.5249999999999995,8.2
Puzzle,GBA,7.9,7.5,9.1,7.575,8.45
Puzzle,GC,7.9,5.6,8.5,6.55,7.975
Puzzle,PC,8.1,7.3,8.5,7.8999999999999995,8.2
Puzzle,PS,7.8500000000000005,7.4,8.3,7.625,8.075000000000001
Puzzle,PS2,7.1,6.2,9.0,6.475,8.475
Puzzle,PS3,8.1,8.1,8.1,8.1,8.1
Puzzle,PS4,8.4,8.4,8.4,8.4,8.4
Puzzle,PSP,7.7,4.6,9.0,6.55,7.85
Puzzle,PSV,7.4,7.4,7.4,7.4,7.4
Puzzle,Wii,7.45,5.8,8.7,6.6000000000000005,8.25
Puzzle,WiiU,7.4,6.3,8.6,6.85,8.0
Puzzle,X360,4.6,2.2,7.0,3.4000000000000004,5.8
Puzzle,XB,4.6,4.6,4.6,4.6,4.6
Racing,3DS,6.8,4.4,8.2,5.0,7.2
Racing,DC,7.9,7.7,8.1,7.8,8.0
Racing,DS,6.85,2.1,9.0,6.1499999999999995,7.475
Racing,GBA,8.2,4.3,9.5,6.0,8.5
Racing,GC,7.7,5.6,9.1,7.0,8.1
Racing,PC,7.1,3.3,8.7,6.1,8.0
Racing,PS,8.5,4.6,9.0,6.3,8.7
Racing,PS2,7.8,2.1,9.2,6.8,8.5
Racing,PS3,6.85,1.0,8.4,6.0,7.5
Racing,PS4,6.6,3.8,8.1,6.2,7.7
Racing,PSP,7.8,5.3,8.8,7.1,8.2
Racing,PSV,6.4,3.7,8.2,6.2,6.8
Racing,Wii,6.75,3.1,8.6,4.575,7.4
Racing,WiiU,9.1,9.1,9.1,9.1,9.1
Racing,X360,7.1,1.3,8.8,5.95,7.95
Racing,XB,7.55,2.8,9.3,6.3500000000000005,8.4
Racing,XOne,6.9,5.3,8.2,5.825,7.975
Role-Playing,3DS,7.8,4.8,9.1,7.325,8.2
Role-Playing,DC,9.0,8.8,9.4,8.875,9.175
Role-Playing,DS,7.7,5.7,9.0,7.1,8.1
