Publisher,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Activision,987649.0,306.82,166.54,5.3100000000000005,57.01,535.74,34713.0,14426.0,3387.6,117380.0
Capcom,395496.0,48.97,28.1,25.94,10.15,113.32000000000001,14248.0,6800.0,1454.1,28758.0
Electronic Arts,1894626.0,465.45,289.24,10.85,102.92,868.55,70753.0,26949.0,6738.2,165773.0
Konami Digital Entertainment,489711.0,51.230000000000004,45.21,21.76,19.59,137.87,17110.0,6208.0,1782.2,31302.0
Microsoft Game Studios,282971.0,138.9,58.16,2.83,16.61,216.49,10828.0,7352.0,1047.3,55402.0
Namco Bandai Games,480169.0,50.7,32.79,23.490000000000002,11.47,118.45,16143.0,6905.0,1742.2,55873.0
Nintendo,584301.0,371.36,242.11,173.8,62.41,849.49,22185.0,12702.0,2305.5,58039.0
Sega,570019.0,69.99,49.05,12.87,16.35,148.42,19995.0,8982.0,2109.8,33414.0
Sony Computer Entertainment,634007.0,176.87,117.53,39.92,53.78,388.1,23681.0,12432.0,2412.1,88064.0
THQ,616003.0,93.97,47.25,2.5100000000000002,19.11,162.87,21092.0,7811.0,2202.9,27985.0
Take-Two Interactive,548306.0,187.82,106.24,5.56,50.550000000000004,350.17,20729.0,9369.0,1955.6,108092.0
Ubisoft,996012.0,174.92,121.28,6.41,37.59,340.23,34366.0,13478.0,3502.7,83988.0
